Date,Model_Name,Actual_Price,Macro_Anchor_Price,Fair_Value_Price,Actual_Ret,Pred_Ret,Error,R2,Adj_R2,RMSE,Train_RMSE,Validation_RMSE,Residual_STD,Window_Obs,Drivers_Used_Count,Drivers_Used,Intercept,Driver_1_Name,Driver_2_Name,Driver_3_Name,Driver_1_Beta,Driver_2_Beta,Driver_3_Beta,Driver_1_SHAP,Driver_2_SHAP,Driver_3_SHAP,Attribution_Method,Best_Params,Alpha,L1_Ratio,N_Estimators,Max_Depth,Learning_Rate,Subsample,Retuned,Recenter_Event,Cum_Error,Macro_Gap,Signal_Z,Error_Z,Signal,Days_In_Signal,Signal_Triggered,Forward_10d_Return,Hit,Largest_Attribution_Driver,Largest_Attribution_Value,Largest_Attribution_Abs,Attribution_Method,Position,Strategy_Daily_Return,Strategy_Equity_Curve,Rolling_Sharpe,Strategy_Drawdown
2006-12-12,ols,6.7956,7.160255331519039,7.160255331519039,-0.7973308348511177,-0.1748318292671294,-0.6224990055839883,0.2423464520176517,0.2331067746032328,0.5269999273824003,0.5269999273824003,0.5087666588253114,0.5280570998137513,250,3,"MSCI World - Dow Jones, Real 2y yield, Gold",-0.0499799267674606,MSCI World - Dow Jones,Real 2y yield,Gold,-0.36342557280225746,-0.5016821656426744,-0.11260781562777922,,,,BETA,{},,,,,,,True,False,-0.0785228319582234,-0.36465533151903884,-1.5715213324808293,-1.5715213324808293,NEUTRAL,0,False,0.013861910648066411,,Real 2y yield,-0.5016821656426744,0.5016821656426744,BETA,0.0,-0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-13,ols,6.833,7.1548090929127675,7.1548090929127675,0.5488471873018597,-0.07609101443860616,0.6249382017404659,0.24394322322061546,0.23472301862574485,0.5278600435823911,0.5278600435823911,0.5103955677173334,0.528918941424102,250,3,"MSCI World - Dow Jones, Real 2y yield, Gold",-0.05406267556359279,MSCI World - Dow Jones,Real 2y yield,Gold,-0.3702504593223085,-0.5067190306433376,-0.11193968214865468,,,,BETA,{},,,,,,,True,False,0.04937917416881102,-0.32180909291276727,-1.2328047603131163,-1.2328047603131163,NEUTRAL,0,False,0.00970291233718723,,Real 2y yield,-0.5067190306433376,0.5067190306433376,BETA,0.0,0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-14,ols,6.8884,7.160473316939347,7.160473316939347,0.8075021649966097,0.07913534864360827,0.7283668163530014,0.24168970408527313,0.2324420175497277,0.5291254849031466,0.5291254849031466,0.5073623363426089,0.5301869212455446,250,3,"MSCI World - Dow Jones, Real 2y yield, Gold",-0.050692388310212826,MSCI World - Dow Jones,Real 2y yield,Gold,-0.36663808967334194,-0.5142369503206288,-0.11200791085295314,,,,BETA,{},,,,,,,True,False,0.17283147274775473,-0.27207331693934744,-0.8678267313081354,-0.8678267313081354,NEUTRAL,0,False,-0.0011033041054526738,,Real 2y yield,-0.5142369503206288,0.5142369503206288,BETA,0.0,0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-15,ols,6.9237,7.176886079753682,7.176886079753682,0.511147137036394,0.22895108547771378,0.2821960515586802,0.2421406931207244,0.23289850645146493,0.5311085803475528,0.5311085803475528,0.5106015757883361,0.5321739948192136,250,3,"MSCI World - Dow Jones, Real 2y yield, Gold",-0.047554654028907434,MSCI World - Dow Jones,Real 2y yield,Gold,-0.3690855009287118,-0.5143247300682148,-0.11239394628895838,,,,BETA,{},,,,,,,True,False,0.19271594162246844,-0.25318607975368224,-0.7211944983471766,-0.7211944983471766,NEUTRAL,0,False,-0.010861244710198337,,Real 2y yield,-0.5143247300682148,0.5143247300682148,BETA,0.0,0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-18,ols,6.9112,7.176496202065605,7.176496202065605,-0.1807024756433906,-0.005432554927022666,-0.17526992071636793,0.24396969816875647,0.2347498164391072,0.5313807672154568,0.5313807672154568,0.5075213132023417,0.5324467276994373,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.04604783830805886,Real 2y yield,MSCI World - Dow Jones,Gold,-0.514430649282354,-0.3694063875595257,-0.11321019923125777,,,,BETA,{},,,,,,,True,False,0.12580942119722544,-0.26529620206560534,-0.779920194403432,-0.779920194403432,NEUTRAL,0,False,-0.00892753790948031,,Real 2y yield,-0.514430649282354,0.514430649282354,BETA,0.0,-0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-19,ols,6.8331,7.17040297219905,7.17040297219905,-1.1364833510747463,-0.08494142405131375,-1.0515419270234325,0.252199488937235,0.24307997050964025,0.5282644011138561,0.5282644011138561,0.5231597366962212,0.5293241101048906,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.05125498531144499,Real 2y yield,MSCI World - Dow Jones,Gold,-0.6754885154951394,-0.36349524368162894,-0.11321677882383163,,,,BETA,{},,,,,,,True,False,-0.08825446029743965,-0.33730297219905037,-1.2238243869384147,-1.2238243869384147,NEUTRAL,0,False,-0.0049757796607688975,,Real 2y yield,-0.6754885154951394,0.6754885154951394,BETA,0.0,-0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-20,ols,6.8278,7.16250591236659,7.16250591236659,-0.0775937202661447,-0.11019480686260967,0.032601086596464976,0.23887341577776366,0.2295913842628583,0.5244826928529672,0.5244826928529672,0.5298643603769079,0.5255348156613305,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.049991128197063334,Real 2y yield,MSCI World - Dow Jones,Gold,-0.6730678160388992,-0.3485453381369354,-0.10878158700252596,,,,BETA,{},,,,,,,True,False,-0.0662807244985479,-0.33470591236658986,-1.1656053655650618,-1.1656053655650618,NEUTRAL,0,False,0.00458419988869041,,Real 2y yield,-0.6730678160388992,0.6730678160388992,BETA,0.0,-0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-21,ols,6.8012,7.157265441360194,7.157265441360194,-0.3903446147934808,-0.07319210776334564,-0.3171525070301352,0.23343763435326303,0.22408931282098576,0.522310765810668,0.522310765810668,0.5259942546206242,0.5233585316897935,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.04654851699474311,Real 2y yield,MSCI World - Dow Jones,Gold,-0.6433545595407815,-0.33535717767793627,-0.11045330447184112,,,,BETA,{},,,,,,,True,False,-0.1118937758679274,-0.3560654413601947,-1.2625526689649642,-1.2625526689649642,NEUTRAL,0,False,0.02070222901840868,,Real 2y yield,-0.6433545595407815,0.6433545595407815,BETA,0.0,-0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-22,ols,6.8539,7.148676051254631,7.148676051254631,0.7718766124362064,-0.12008145206135151,0.891958064497558,0.2330017975830928,0.22364816096825246,0.5226914633928712,0.5226914633928712,0.5207420783910304,0.5237399929589872,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.047761709968588854,Real 2y yield,MSCI World - Dow Jones,Gold,-0.647931789492449,-0.33576081952729225,-0.11026450871782642,,,,BETA,{},,,,,,,True,False,0.07062474056216088,-0.29477605125463047,-0.8282347375357556,-0.8282347375357556,NEUTRAL,0,False,0.01635565152686791,,Real 2y yield,-0.647931789492449,0.647931789492449,BETA,0.0,0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-25,ols,6.8571,7.146790359045038,7.146790359045038,0.046677850749055,-0.026381681666155524,0.07305953241521052,0.2279406852858521,0.2185253277893381,0.5256450418968698,0.5256450418968698,0.5261851072224681,0.5266994964007439,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.04382057454900659,Real 2y yield,MSCI World - Dow Jones,Gold,-0.658778952426728,-0.3321056897650309,-0.10948927570952388,,,,BETA,{},,,,,,,True,False,0.07106742998998808,-0.28969035904503837,-0.7670782128381667,-0.7670782128381667,NEUTRAL,0,False,0.020052208659637527,,Real 2y yield,-0.658778952426728,0.658778952426728,BETA,0.0,0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-26,ols,6.8898,7.146059353272225,7.146059353272225,0.4757445195015419,-0.010228971662954035,0.48597349116449595,0.2309700292649739,0.2215916149877175,0.5227285877378629,0.5227285877378629,0.5260383054917057,0.5237771917761601,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.046885950000312045,Real 2y yield,MSCI World - Dow Jones,Gold,-0.6659051078928682,-0.31955074995482535,-0.11343869648039911,,,,BETA,{},,,,,,,True,False,0.14650489565808042,-0.2562593532722248,-0.5217008402328152,-0.5217008402328152,NEUTRAL,0,False,0.018766872768440246,,Real 2y yield,-0.6659051078928682,0.6659051078928682,BETA,0.0,0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-27,ols,6.8993,7.1430563958305395,7.1430563958305395,0.1377900153463951,-0.04203139702445488,0.17982141237084998,0.2291498363730612,0.21974922462151314,0.523513803933926,0.523513803933926,0.5242579105975431,0.524563983131672,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.04566809794119528,Real 2y yield,MSCI World - Dow Jones,Gold,-0.6621229169689193,-0.32374695528646596,-0.11208343802351808,,,,BETA,{},,,,,,,True,False,0.15256244415131126,-0.24375639583053932,-0.4158420748840364,-0.4158420748840364,NEUTRAL,0,False,0.02414737727015792,,Real 2y yield,-0.6621229169689193,0.6621229169689193,BETA,0.0,0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-28,ols,6.8808,7.1277987489452155,7.1277987489452155,-0.2685032926392994,-0.21382955042415697,-0.05467374221514243,0.22797321938753434,0.21855825864835787,0.5228785984993867,0.5228785984993867,0.5248378784829972,0.5239275034622822,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.043236501097739674,Real 2y yield,MSCI World - Dow Jones,Gold,-0.6657705982025188,-0.32203687019267446,-0.11148034754854336,,,,BETA,{},,,,,,,True,False,0.11488313753922876,-0.24699874894521567,-0.4160329634514248,-0.4160329634514248,NEUTRAL,0,False,0.031173700732473053,,Real 2y yield,-0.6657705982025188,0.6657705982025188,BETA,0.0,-0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
2006-12-29,ols,6.8485,7.121189889654728,7.121189889654728,-0.4705274062393849,-0.09276251012633664,-0.37776489611304825,0.23067815453564133,0.2212961808104662,0.5214806746806994,0.5214806746806994,0.5221493289918084,0.5225267753803579,250,3,"Real 2y yield, MSCI World - Dow Jones, Gold",-0.04596464521407073,Real 2y yield,MSCI World - Dow Jones,Gold,-0.6695196887242887,-0.328769447914257,-0.11051099607757739,,,,BETA,{},,,,,,,True,False,0.025310767784269286,-0.2726898896547283,-0.5663263194308041,-0.5663263194308041,NEUTRAL,0,False,0.026808790246039216,,Real 2y yield,-0.6695196887242887,0.6695196887242887,BETA,0.0,-0.0,1.0887328921785904,-0.2695442089424264,-0.015522588039590834
