Date,StackedEnsemble_G10,PolicyAgent_G10
2003-06-26,1.0093028773530779,1.0154474724251987
2003-06-27,1.009109480794995,1.0160930549655665
2003-06-30,1.0111695862008483,1.017866228143285
2003-07-01,1.0129163957145677,1.0168149989332589
2003-07-02,1.0124172246699723,1.0168066757530123
2003-07-03,1.0124890181372095,1.0165349181300496
2003-07-04,1.0120908394247203,1.0148020194456473
2003-07-07,1.0069145395051242,1.0146257372191454
2003-07-08,1.0076783955240132,1.0147172954906942
2003-07-09,1.0079032337616927,1.0151197690724416
2003-07-10,1.0090368670983227,1.014404126831562
2003-07-11,1.0082289458111413,1.0140278553850035
2003-07-14,1.0081506883182871,1.0098960778767168
2003-07-15,1.0020173420099419,1.0122102602005871
2003-07-16,1.0053216695107932,1.011407736082165
2003-07-17,1.0037829860348806,1.0104124408115145
2003-07-18,1.0023859323678095,1.0123568613063665
2003-07-21,1.003797530503357,1.0122267911336789
2003-07-22,1.0034844794165003,1.0132116081554565
2003-07-23,1.007642488932753,1.0144194026161268
2003-07-24,1.0088593650597726,1.0144751469758502
2003-07-25,1.0089155285733271,1.0144751469758502
2003-07-28,1.0089155285733271,1.0144565623603468
2003-07-29,1.0088968042161024,1.0151892015425377
2003-07-30,1.0088968042161024,1.017112738532643
2003-07-31,1.0088968042161024,1.017112738532643
2003-08-01,1.0088968042161024,1.017112738532643
2003-08-04,1.0088968042161024,1.017112738532643
2003-08-05,1.0088968042161024,1.017112738532643
2003-08-06,1.0088968042161024,1.017112738532643
2003-08-07,1.0088968042161024,1.017112738532643
2003-08-08,1.0090101748446925,1.017112738532643
2003-08-11,1.0085566923303317,1.0172495821417227
2003-08-12,1.008688958063687,1.0172495821417227
2003-08-13,1.00907630771137,1.0172495821417227
2003-08-14,1.00907630771137,1.0172495821417227
2003-08-15,1.00907630771137,1.0172495821417227
2003-08-18,1.00907630771137,1.0172495821417227
2003-08-19,1.00907630771137,1.0177191586953245
2003-08-20,1.00907630771137,1.0166328248772905
2003-08-21,1.00907630771137,1.0163735064820179
2003-08-22,1.0088278774208532,1.016114188086745
2003-08-25,1.0086081121638575,1.016153759491309
2003-08-26,1.0086463322085524,1.0164065358066747
2003-08-27,1.0086941072644209,1.0164065358066747
2003-08-28,1.0090225870337135,1.0163925451873652
2003-08-29,1.0090225870337135,1.0163925451873652
2003-09-01,1.0086774298254304,1.0163925451873652
2003-09-02,1.0086966052258906,1.0166249073804225
2003-09-03,1.0080446416102449,1.0166249073804225
2003-09-04,1.008840420729342,1.0166249073804225
2003-09-05,1.008840420729342,1.0166249073804225
2003-09-08,1.008840420729342,1.0166249073804225
2003-09-09,1.008840420729342,1.0166249073804225
2003-09-10,1.008840420729342,1.0166249073804225
2003-09-11,1.008840420729342,1.0166249073804225
2003-09-12,1.008840420729342,1.0166249073804225
2003-09-15,1.008840420729342,1.0166249073804225
2003-09-16,1.008840420729342,1.0166249073804225
2003-09-17,1.008840420729342,1.0166249073804225
2003-09-18,1.008840420729342,1.0166249073804225
2003-09-19,1.008840420729342,1.0166249073804225
2003-09-22,1.008840420729342,1.0167076825348587
2003-09-23,1.008920211995565,1.0161282564538043
2003-09-24,1.008361673132005,1.0166456011690315
2003-09-25,1.0088603685458977,1.0166456011690315
2003-09-26,1.008361673132005,1.0166456011690315
2003-09-29,1.007414151845609,1.0183950038772158
2003-09-30,1.0081322732416145,1.0183950038772158
2003-10-01,1.0081322732416145,1.0180583302691313
2003-10-02,1.0081724680829618,1.0194720333788265
2003-10-03,1.008393539710373,1.0161929393813307
2003-10-06,1.008453831972394,1.0148283286931874
2003-10-07,1.008453831972394,1.0136390750041757
2003-10-08,1.008129172611626,1.0145138511650993
2003-10-09,1.007591455545354,1.0137075239761069
2003-10-10,1.006713132645104,1.0149330903084246
2003-10-13,1.0069870639807519,1.0146936021326187
2003-10-14,1.006926190350608,1.0154009294549355
2003-10-15,1.007605945887216,1.0158548857961238
2003-10-16,1.007605945887216,1.0152320154675167
2003-10-17,1.007605945887216,1.0162877278888849
2003-10-20,1.007605945887216,1.0162877278888849
2003-10-21,1.0072210374609913,1.0162877278888849
2003-10-22,1.0072210374609913,1.0162877278888849
2003-10-23,1.0072210374609913,1.0162877278888849
2003-10-24,1.0072210374609913,1.0162877278888849
2003-10-27,1.0072210374609913,1.0162877278888849
2003-10-28,1.0072210374609913,1.0162877278888849
2003-10-29,1.0072210374609913,1.0162877278888849
2003-10-30,1.0072210374609913,1.0162877278888849
2003-10-31,1.0072210374609913,1.0162877278888849
2003-11-03,1.0072210374609913,1.0162877278888849
2003-11-04,1.007978253230349,1.0162877278888849
2003-11-05,1.007978253230349,1.015916580942168
2003-11-06,1.007978253230349,1.0168122143928695
2003-11-07,1.009518300625841,1.0168122143928695
2003-11-10,1.009518300625841,1.0168122143928695
2003-11-11,1.009518300625841,1.016864530931481
2003-11-12,1.0095710105437599,1.016864530931481
2003-11-13,1.0095710105437599,1.016864530931481
2003-11-14,1.0095710105437599,1.016864530931481
2003-11-17,1.0095710105437599,1.016864530931481
2003-11-18,1.0095710105437599,1.016864530931481
2003-11-19,1.0095710105437599,1.016864530931481
2003-11-20,1.009104808106893,1.016864530931481
2003-11-21,1.009104808106893,1.016864530931481
2003-11-24,1.009104808106893,1.016864530931481
2003-11-25,1.009104808106893,1.016864530931481
2003-11-26,1.009104808106893,1.016864530931481
