Currency,Variable,ADF p-val (Level),ADF p-val (Diff),Order of Integration,Johansen Trace Stat,95% Crit Value,Is Cointegrated
jpy,MSCI World ex-US,0.93028012,2.27E-26,I(1),5.304555145,15.4943,No
jpy,MSCI EM,0.676469029,1.09E-24,I(1),2.71124265,15.4943,No
jpy,Local Index,0.506128189,7.91E-19,I(1),1.951814545,15.4943,No
jpy,BCOM Index,0.407151686,0,I(1),3.63433144,15.4943,No
jpy,Gold,1,0,I(1),35.29008657,15.4943,Yes
jpy,Oil,0.117684165,0,I(1),11.48228524,15.4943,No
jpy,UK Natural Gas,0.002678879,4.28E-27,I(0),35.65397465,15.4943,Yes
jpy,TTF Natural Gas,0.016287624,1.82E-23,I(0),25.37364883,15.4943,Yes
jpy,NY Natural Gas,0.018814969,0,I(0),12.79936882,15.4943,No
jpy,Copper COMEX,0.770013546,0,I(1),6.308728061,15.4943,No
jpy,Copper LME,0.743752221,0,I(1),3.525152288,15.4943,No
jpy,VIX,4.81E-08,0,I(0),63.7592703,15.4943,Yes
jpy,USTs Volatility,0.008776267,2.47E-30,I(0),37.86385229,15.4943,Yes
jpy,G10 FX Volatility,0.002092001,1.37E-26,I(0),36.08685026,15.4943,Yes
nok,USDNOK,0.659277081,0,I(1),,,No
nok,BBDXY,0.472543402,0,I(1),12.52452312,15.4943,No
nok,EMFX,0.706274759,0,I(1),3.997818918,15.4943,No
nok,2y yield,0.499495699,0,I(1),7.914999835,15.4943,No
nok,5y yield,0.309954521,0,I(1),11.68579784,15.4943,No
nok,10y yield,0.250506821,0,I(1),17.77700648,15.4943,Yes
nok,Real 2y yield,0.018703055,8.46E-28,I(0),13.40943414,15.4943,No
nok,Local - S&P500,0.998918357,3.38E-29,I(1),11.30617059,15.4943,No
nok,Local - Wilshire,0.999062235,2.53E-29,I(1),13.77699385,15.4943,No
nok,Local - Dow Jones,0.998722818,6.91E-30,I(1),11.92629699,15.4943,No
nok,MSCI World - S&P500,0.999086002,7.44E-26,I(1),12.34788224,15.4943,No
nok,MSCI World - Wilshire,0.99903699,2.89E-27,I(1),13.84665888,15.4943,No
nok,MSCI World - Dow Jones,0.99893378,0,I(1),11.88839562,15.4943,No
nok,MSCI World ex-US,0.93028012,2.27E-26,I(1),6.854306724,15.4943,No
nok,MSCI EM,0.676469029,1.09E-24,I(1),4.428372536,15.4943,No
nok,Local Index,0.99900355,1.15E-24,I(1),13.23560586,15.4943,No
nok,BCOM Index,0.407151686,0,I(1),6.435271128,15.4943,No
nok,Gold,1,0,I(1),27.4499277,15.4943,Yes
nok,Oil,0.117684165,0,I(1),12.26484784,15.4943,No
nok,UK Natural Gas,0.002678879,4.28E-27,I(0),35.89851416,15.4943,Yes
nok,TTF Natural Gas,0.016287624,1.82E-23,I(0),24.51961028,15.4943,Yes
nok,NY Natural Gas,0.018814969,0,I(0),16.87200731,15.4943,Yes
nok,Copper COMEX,0.770013546,0,I(1),6.877258363,15.4943,No
nok,Copper LME,0.743752221,0,I(1),4.157476142,15.4943,No
nok,VIX,4.81E-08,0,I(0),65.60463448,15.4943,Yes
nok,USTs Volatility,0.008776267,2.47E-30,I(0),38.42795968,15.4943,Yes
nok,G10 FX Volatility,0.002092001,1.37E-26,I(0),38.40438726,15.4943,Yes
nzd,NZDUSD,0.225612883,0,I(1),,,No
nzd,BBDXY,0.472543402,0,I(1),12.06301757,15.4943,No
nzd,Asia EMFX,0.594493388,0,I(1),25.49057251,15.4943,Yes
nzd,2y yield,0.736320206,0,I(1),11.1127157,15.4943,No
nzd,5y yield,0.558390008,0,I(1),12.55423127,15.4943,No
nzd,10y yield,0.464878383,0,I(1),13.11196288,15.4943,No
nzd,Real 2y yield,0.158843979,0,I(1),13.62729688,15.4943,No
nzd,Local - S&P500,0.921008184,3.97E-30,I(1),4.756658223,15.4943,No
nzd,Local - Wilshire,0.996817653,4.03E-30,I(1),11.02414124,15.4943,No
nzd,Local - Dow Jones,0.996292859,2.02E-30,I(1),10.57154853,15.4943,No
nzd,MSCI World - S&P500,0.999086002,7.44E-26,I(1),12.0991544,15.4943,No
nzd,MSCI World - Wilshire,0.99903699,2.89E-27,I(1),15.36887037,15.4943,No
nzd,MSCI World - Dow Jones,0.99893378,0,I(1),11.13154948,15.4943,No
nzd,MSCI World ex-US,0.93028012,2.27E-26,I(1),9.650269677,15.4943,No
nzd,MSCI EM,0.676469029,1.09E-24,I(1),5.51359506,15.4943,No
nzd,Local Index,0.510540595,2.11E-30,I(1),10.98358128,15.4943,No
nzd,BCOM Index,0.407151686,0,I(1),7.566227069,15.4943,No
nzd,Gold,1,0,I(1),37.00653025,15.4943,Yes
nzd,Oil,0.117684165,0,I(1),19.63636817,15.4943,Yes
nzd,UK Natural Gas,0.002678879,4.28E-27,I(0),34.96943904,15.4943,Yes
nzd,TTF Natural Gas,0.016287624,1.82E-23,I(0),27.0929261,15.4943,Yes
nzd,NY Natural Gas,0.018814969,0,I(0),17.48764866,15.4943,Yes
nzd,Copper COMEX,0.770013546,0,I(1),8.375338657,15.4943,No
nzd,Copper LME,0.743752221,0,I(1),5.230301053,15.4943,No
nzd,VIX,4.81E-08,0,I(0),73.97366736,15.4943,Yes
nzd,USTs Volatility,0.008776267,2.47E-30,I(0),45.88017166,15.4943,Yes
nzd,G10 FX Volatility,0.002092001,1.37E-26,I(0),36.97651345,15.4943,Yes
nzd,Whole milk,0.249730295,0.006211181,I(1),17.92476336,15.4943,Yes
nzd,Skimmed milk,0.34011357,0,I(1),8.031014439,15.4943,No
sek,USDSEK,0.421949214,0,I(1),,,No
sek,BBDXY,0.472543402,0,I(1),11.51396982,15.4943,No
sek,EMFX,0.706274759,0,I(1),3.926323268,15.4943,No
sek,2y yield,0.721775015,5.46E-20,I(1),9.274783339,15.4943,No
sek,5y yield,0.690554735,0,I(1),10.30159957,15.4943,No
sek,10y yield,0.548797099,0,I(1),14.74238726,15.4943,No
sek,Real 2y yield,0.110062432,1.26E-27,I(1),11.96793322,15.4943,No
sek,Local - S&P500,0.998720693,0,I(1),7.555275695,15.4943,No
sek,Local - Wilshire,0.99908117,0,I(1),12.54683555,15.4943,No
sek,Local - Dow Jones,0.998777921,0,I(1),9.501858832,15.4943,No
sek,MSCI World - S&P500,0.999086002,7.44E-26,I(1),10.23038444,15.4943,No
sek,MSCI World - Wilshire,0.99903699,2.89E-27,I(1),11.99885376,15.4943,No
sek,MSCI World - Dow Jones,0.99893378,0,I(1),9.131669066,15.4943,No
sek,MSCI World ex-US,0.93028012,2.27E-26,I(1),6.53325208,15.4943,No
sek,MSCI EM,0.676469029,1.09E-24,I(1),4.456824079,15.4943,No
sek,Local Index,0.992321543,5.74E-27,I(1),7.653682342,15.4943,No
sek,BCOM Index,0.407151686,0,I(1),8.61978731,15.4943,No
sek,Gold,1,0,I(1),26.33816785,15.4943,Yes
sek,Oil,0.117684165,0,I(1),13.80597538,15.4943,No
sek,UK Natural Gas,0.002678879,4.28E-27,I(0),36.76341987,15.4943,Yes
sek,TTF Natural Gas,0.016287624,1.82E-23,I(0),27.76916075,15.4943,Yes
sek,NY Natural Gas,0.018814969,0,I(0),17.61532694,15.4943,Yes
sek,Copper COMEX,0.770013546,0,I(1),9.396105729,15.4943,No
sek,Copper LME,0.743752221,0,I(1),4.035603655,15.4943,No
sek,VIX,4.81E-08,0,I(0),64.77146817,15.4943,Yes
sek,USTs Volatility,0.008776267,2.47E-30,I(0),39.05419811,15.4943,Yes
sek,G10 FX Volatility,0.002092001,1.37E-26,I(0),36.74033148,15.4943,Yes
